Country,City1,City2,City3,City4,City5
Afghanistan,Kabul,Kandahar,Herat,Mazar-i-Sharif,Jalalabad
Albania,Tirana,Durrës,Vlorë,Shkodër,Elbasan
Algeria,Algiers,Oran,Constantine,Annaba,Blida
Andorra,Andorra la Vella,Encamp,Sant Julià de Lòria,Escaldes-Engordany,La Massana
Angola,Luanda,Huambo,Lobito,Benguela,Lubango
Antigua and Barbuda,St. John's,All Saints,Piggotts,Liberta,Bolans
Argentina,Buenos Aires,Córdoba,Rosario,Mendoza,La Plata
Armenia,Yerevan,Gyumri,Vanadzor,Vagharshapat,Hrazdan
Australia,Sydney,Melbourne,Brisbane,Perth,Adelaide
Austria,Vienna,Graz,Linz,Salzburg,Innsbruck
Azerbaijan,Baku,Ganja,Sumqayit,Lankaran,Mingachevir
Bahamas,Nassau,Freeport,West End,Coopers Town,Marsh Harbour
Bahrain,Manama,Muharraq,Riffa,Hamad Town,A'ali
Bangladesh,Dhaka,Chittagong,Khulna,Rajshahi,Sylhet
Barbados,Bridgetown,Speightstown,Oistins,Holetown,Crane
Belarus,Minsk,Gomel,Mogilev,Vitebsk,Grodno
Belgium,Brussels,Antwerp,Ghent,Charleroi,Liège
Belize,Belize City,San Ignacio,Orange Walk,Belmopan,Dangriga
Benin,Cotonou,Porto-Novo,Parakou,Djougou,Bohicon
Bhutan,Thimphu,Phuntsholing,Punakha,Jakar,Samdrup Jongkhar
Bolivia,Santa Cruz,El Alto,La Paz,Cochabamba,Sucre
Bosnia and Herzegovina,Sarajevo,Banja Luka,Tuzla,Mostar,Zenica
Botswana,Gaborone,Francistown,Molepolole,Maun,Serowe
Brazil,São Paulo,Rio de Janeiro,Brasília,Salvador,Fortaleza
Brunei,Bandar Seri Begawan,Kuala Belait,Seria,Tutong,Bangar
Bulgaria,Sofia,Plovdiv,Varna,Burgas,Ruse
Burkina Faso,Ouagadougou,Bobo-Dioulasso,Koudougou,Ouahigouya,Banfora
Burundi,Bujumbura,Muyinga,Gitega,Ngozi,Ruyigi
Cabo Verde,Praia,Mindelo,Santa Maria,Cova da Moura,São Filipe
Cambodia,Phnom Penh,Siem Reap,Battambang,Sihanoukville,Poipet
Cameroon,Douala,Yaoundé,Bamenda,Bafoussam,Garoua
Canada,Toronto,Montreal,Vancouver,Calgary,Edmonton
Central African Republic,Bangui,Bimbo,Berbérati,Carnot,Bambari
Chad,N'Djamena,Moundou,Sarh,Abéché,Kélo
Chile,Santiago,Valparaíso,Concepción,Antofagasta,Viña del Mar
China,Shanghai,Beijing,Guangzhou,Shenzhen,Chongqing
Colombia,Bogotá,Medellín,Cali,Barranquilla,Cartagena
Comoros,Moroni,Mutsamudu,Fomboni,Domoni,Tsimbeo
Congo (Brazzaville),Brazzaville,Pointe-Noire,Dolisie,Nkayi,Owando
Congo (Kinshasa),Kinshasa,Lubumbashi,Matadi,Bukavu,Kananga
Costa Rica,San José,Limón,San Francisco,Alajuela,Liberia
Croatia,Zagreb,Split,Rijeka,Osijek,Zadar
Cuba,Havana,Santiago de Cuba,Camagüey,Holguín,Guantánamo
Cyprus,Nicosia,Limassol,Larnaca,Famagusta,Paphos
Czech Republic,Prague,Brno,Ostrava,Plze_,Olomouc
Denmark,Copenhagen,Aarhus,Odense,Aalborg,Esbjerg
Djibouti,Djibouti City,Ali Sabieh,Tadjoura,Obock,Dikhil
Dominica,Roseau,Portsmouth,Marigot,Atkinson,La Plaine
Dominican Republic,Santo Domingo,Santiago,La Romana,San Pedro de Macorís,San Cristóbal
Ecuador,Guayaquil,Quito,Cuenca,Santo Domingo,Machala
Egypt,Cairo,Alexandria,Giza,Shubra El Kheima,Port Said
El Salvador,San Salvador,Santa Ana,Soyapango,San Miguel,Mejicanos
Equatorial Guinea,Malabo,Bata,Ebebiyin,Mongomo,Luba
Eritrea,Asmara,Keren,Massawa,Assab,Mendefera
Estonia,Tallinn,Tartu,Narva,Pärnu,Kohtla-Järve
Eswatini,Manzini,Mbabane,Big Bend,Malkerns,Nhlangano
Ethiopia,Addis Ababa,Dire Dawa,Mek'ele,Gondar,Adama
Fiji,Suva,Lautoka,Nadi,Labasa,Ba
Finland,Helsinki,Espoo,Tampere,Vantaa,Turku
France,Paris,Marseille,Lyon,Toulouse,Nice
Gabon,Libreville,Port-Gentil,Franceville,Owendo,Mouila
Gambia,Banjul,Serrekunda,Brikama,Bakau,Farafenni
Georgia,Tbilisi,Batumi,Kutaisi,Rustavi,Gori
Germany,Berlin,Hamburg,Munich,Cologne,Frankfurt
Ghana,Accra,Kumasi,Tamale,Sekondi-Takoradi,Ashaiman
Greece,Athens,Thessaloniki,Patras,Heraklion,Larissa
Grenada,St. George's,Gouyave,Victoria,Grenville,Sauteurs
Guatemala,Guatemala City,Mixco,Villa Nueva,Petapa,San Juan Sacatepéquez
Guinea,Conakry,Nzérékoré,Kindia,Boké,Kankan
Guinea-Bissau,Bissau,Bafatá,Gabu,Cacheu,Buba
Guyana,Georgetown,Linden,New Amsterdam,Bartica,Skeldon
Haiti,Port-au-Prince,Carrefour,Delmas,Pétion-Ville,Port-de-Paix
Honduras,Tegucigalpa,San Pedro Sula,Choloma,La Ceiba,El Progreso
Hungary,Budapest,Debrecen,Szeged,Miskolc,Pécs
Iceland,Reykjavik,Kópavogur,Hafnarfjör_ur,Akureyri,Gar_abær
India,Mumbai,Delhi,Bangalore,Hyderabad,Chennai
Indonesia,Jakarta,Surabaya,Bandung,Medan,Semarang
Iran,Tehran,Mashhad,Isfahan,Karaj,Shiraz
Iraq,Baghdad,Basra,Mosul,Erbil,Najaf
Ireland,Dublin,Cork,Limerick,Galway,Waterford
Israel,Jerusalem,Tel Aviv,Haifa,Rishon LeZion,Petah Tikva
Italy,Rome,Milan,Naples,Turin,Palermo
Ivory Coast,Abidjan,Bouaké,Daloa,Yamoussoukro,San-Pédro
Jamaica,Kingston,Portmore,Spanish Town,Montego Bay,May Pen
Japan,Tokyo,Yokohama,Osaka,Nagoya,Sapporo
Jordan,Amman,Zarqa,Irbid,Russeifa,Aqaba
Kazakhstan,Almaty,Nur-Sultan,Shymkent,Karaganda,Aktobe
