Airport Code,ICAO,Place
AAA,NTGA,Anaa
AAB,YARY,Arrabury Airport
AAC,HEAR,El Arish International Airport
AAD,HCAD,Adado Airport
AAE,DABB,Les Salines Airport
AAF,KAAF,Apalachicola Regional
AAG,SSYA,Arapoti
AAH,EDKA,Aachen/Merzbruck
AAI,SWRA,Arraias
AAJ,SMCA,Cayana Airstrip
AAK,NGUK,Aranuka
AAL,EKYT,Aalborg Airport
AAM,FAMD,Mala Mala
AAN,OMAL,Al Ain Airport
AAO,SVAN,Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport
AAQ,URKA,Anapa Airport
AAR,EKAH,Aarhus Airport
AAS,,Apalapsili
AAT,ZWAT,Altay Airport
AAU,NSAU,Asau
AAV,RPMA,Allah Valley
AAW,OPAB,Abbottabad
AAX,SBAX,Araxa Airport
AAY,OYGD,Al Ghaydah
AAZ,MGQZ,Quetzaltenango
ABA,UNAA,Abakan Airport
ABB,DNAS,Asaba International Airport
ABC,LEAB,Los Llanos
ABD,OIAA,Abadan Airport
ABE,KABE,Lehigh Valley International Airport
ABF,NGAB,Abaiang
ABG,YABI,Abingdon
ABH,YAPH,Alpha
ABI,KABI,Abilene Regional Airport
ABJ,DIAP,Felix Houphouet Boigny Airport
ABK,HAKD,Kabri Dar
ABL,PAFM,Ambler Airport
ABM,YNPE,Northern Peninsula Airport
ABN,SMBN,Albina
ABO,DIAO,Aboisso
ABP,,Atkamba
ABQ,KABQ,Albuquerque International Sunport
ABR,KABR,Aberdeen Municipal Airport
ABS,HEBL,Abu Simbel
ABT,OEBA,Al-Aqiq Airport
ABU,WATA,Haliwen Airport
ABV,DNAA,Nnamdi Azikiwe International Airport
ABW,,Abau
ABX,YMAY,Albury Airport
ABY,KABY,Southwest Georgia Regional Airport
ABZ,EGPD,Aberdeen International Airport
ACA,MMAA,Acapulco International Airport
ACB,KACB,Antrim County
ACC,DGAA,Kotoka International Airport
ACD,SKAD,Acandi
ACE,GCRR,Lanzarote Airport
ACF,ZWAL,Alaer Talimu Airport
ACH,LSZR,Altenrhein Airport
ACI,EGJA,Alderney Airport
ACJ,VCCA,Anuradhapura
ACK,KACK,Nantucket Memorial Airport
ACL,,Aguaclara
ACM,,Arica
ACN,MMCC,International
ACO,MRAF,Cobano Airport
ACP,OITM,Sahand
ACR,SKAC,Araracuara
ACS,UNKS,Achinsk
ACT,KACT,Waco Municipal Airport
ACU,,Achutupo
ACV,KACV,Arcata-Eureka Airport
ACX,ZUYI,Xingyi Airport
ACY,KACY,Atlantic City International Airport
ACZ,OIZB,Zabol Airport
ADA,LTAF,Adana Airport
ADB,LTBJ,Izmir Adnan Menderes Airport
ADC,AYAN,Andakombe
ADD,HAAB,Addis Ababa Bole International Airport
ADE,OYAA,International
ADF,LTCP,Adiyaman Airport
ADG,KADG,Lenawee County
ADH,UEEA,Aldan
ADI,FYAR,Arandis
ADJ,OJAM,Marka International Airport
ADK,PADK,Adak Island Ns
ADL,YPAD,Adelaide Airport
ADM,KADM,Ardmore Municipal Airport
ADN,SKAN,Andes
ADO,YAMK,Andamooka
ADP,VCCG,Ampara
ADQ,PADQ,Kodiak Benny Benson State Airport
ADR,KPHH,Andrews
ADS,KADS,Addison Airport
ADT,KADH,Ada Municipal
ADU,OITL,Ardabil Airport
ADV,,El Daein
ADW,KADW,Andrews AFB
ADX,EGQL,Leuchars
ADY,FAAL,Alldays
ADZ,SKSP,Gustavo Rojas Pinilla Airport
AEA,NGTB,Abemama Atoll
AEB,ZGBS,Youjiang
AED,,Aleneva
AEE,,Adareil Airport
AEG,WIME,Aek Godang
AEH,FTTC,Abéché
AEI,,Algeciras
AEK,AYAX,Aseki
AEL,KAEL,Albert Lea
AEM,UHTG,Amgu
AEO,GQNA,Aioun El Atrouss
AEP,SABE,Jorge Newbery Airport
AEQ,,Ar Horqin Airport
AER,URSS,Sochi International Airport
AES,ENAL,Vigra Alesund Airport
AET,PFAL,Allakaket
AEU,OIBA,Abu Musa
AEX,KAEX,Alexandria International Airport
AEY,BIAR,Akureyri Airport
AFA,SAMR,San Rafael Airport
AFD,FAPA,Port Alfred
AFF,KAFF,USAF Academy Airstrip
AFI,SKAM,Amalfi
AFK,,Ampara Kondavattavan Tank Airport
AFL,SBAT,Alta Floresta Airport
AFN,KAFN,Municipal
AFO,KAFO,Municipal
AFR,AYAF,Afore
AFS,UTSN,Zarafshan
AFT,AGAF,Afutara Aerodrome
AFW,KAFW,Fort Worth Alliance Airport
AFY,LTAH,Afyon
AFZ,OIMS,Sabzevar
AGA,GMAD,Agadir Al Massira Airport
AGB,EDMA,Augsburg Airport
AGC,KAGC,Allegheny County Airport
AGD,WASG,Anggi
AGE,EDWG,Flugplatz
AGF,LFBA,La Garenne Airport
AGG,,Angoram
AGH,ESTA,Angelholm Helsingborg Airport
AGI,SMWA,Wageningen
AGJ,RORA,Aguni
AGK,,Kagua
AGL,AYWG,Wanigela
AGM,,Tasiilaq
AGN,PAGN,Angoon
AGO,KAGO,Municipal
AGP,LEMG,Malaga Airport
AGQ,LGAG,Agrinion
AGR,VIAG,Kheria
AGS,KAGS,Augusta Regional Airport
AGT,SGES,Alejo Garcia Airport
AGU,MMAS,Aguascalients International Airport
AGV,SVAC,Acarigua
AGW,,Agnew
AGX,VOAT,Agatti Island Airport
AGZ,FAAG,Aggeneys
AHA,,Naha AFB
AHB,OEAB,Abha Regional Airport
AHC,KAHC,Amedee AAF
AHD,,Downtown
AHE,NTHE,Ahe Airport
AHF,,Municipal
AHG,,Agalega Island Airstrip
AHH,KAHH,Municipal
AHI,WAPA,Amahai
AHJ,ZUHY,Hongyuan Airport
AHL,SYAH,Aishalton
AHM,KS03,Sumner Parker Field
AHN,KAHN,Athens-Ben Epps
AHO,LIEA,Alghero-Fertilia Airport
AHS,MHAH,Ahuas
AHU,GMTA,Charif Al Idrissi Airport
AHW,,Saih Rawl
AHY,,Ambatolahy
AHZ,LFHU,Alpe D Huez
AIA,KAIA,Alliance Airport
AIC,,Airok
AID,KAID,Municipal
AIE,AYAO,Aiome
AIF,SNAX,Assis
AIG,FEFY,Yalinga
AIH,AYAK,Aiambak
AII,HDAS,Alisabieh
AIK,KAIK,Municipal
AIL,,Ailigandi
AIM,,Ailuk Island
AIN,PAWI,Wainwright
AIO,KAIO,Municipal
AIP,VIAX,Ailinglapalap Island
AIR,SSOU,Aripuana
AIS,NGTR,Arorae Island
AIT,NCAI,Aitutaki Airport
AIU,NCAT,Atiu Island
AIV,KAIV,George Downer
AIW,FYAA,Ai-ais
AIY,,Bader Field
AIZ,KAIZ,Lee C Fine Memorial
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport
AJF,OESK,Jouf Airport
AJI,LTCO,Agri Airport
AJJ,GQNJ,Akjoujt
AJK,OIHR,Araak
AJL,VELP,Aizawl Airport
AJN,FMCV,Ouani
AJR,ESNX,Arvidsjaur Airport
AJS,,Abreojos
AJU,SBAR,Aracaju Airport
AJY,DRZA,Agades
AKA,ZLAK,Ankang
AKB,PAAK,Atka
AKC,KAKR,Fulton International
AKD,VAAK,Akola
AKE,FOGA,Akieni
AKF,HLKF,Kufrah
AKG,AYGU,Anguganak
AKH,OEPS,Prince Sultan Air Base
AKI,PFAK,Akiak
AKJ,RJEC,Asahikawa Airport
AKK,PAKH,Akhiok SPB
AKL,NZAA,Auckland Airport
AKM,,Zakouma
AKN,PAKN,King Salmon Airport
AKO,KAKO,Colorado Plains Regional Airport
AKP,PAKP,Anaktuvuk
AKQ,,Gunung Batin
AKR,DNAK,Akure
AKS,AGGA,Gwaunaru'u
AKT,LCRA,Raf Akrotiri
AKU,ZWAK,Aksu Airport
AKV,CYKO,Akulivik
AKW,OIAG,Aghajari
AKX,UATT,Aktyubinsk Airport
AKY,VYSW,Civil Airport
ALA,UAAA,Almaty Airport
ALB,KALB,Albany International Airport
ALC,LEAL,Alicante-Elche Airport
ALD,SPAR,Alerta
ALE,,Alpine
ALF,ENAT,Alta Airport
ALG,DAAG,Houari Boumediene Airport
ALH,YABA,Albany Airport
ALI,KALI,International
ALJ,FAAB,Alexander Bay Airport
ALK,,Asela
ALL,LIMG,Albenga
ALM,KALM,Municipal
ALN,KALN,Alton
ALO,KALO,Waterloo Airport
ALP,OSAP,Nejrab
ALQ,SSLT,Federal
ALR,NZLX,Alexandra
ALS,KALS,Alamosa Municipal Airport
ALT,SDWQ,Alenquer
ALU,HCMA,Alula
ALW,KALW,Walla Walla Airport
ALX,KALX,Thomas C Russell Field
ALY,HEAX,El Nohza
ALZ,,Alitak SPB
AMA,KAMA,Rick Husband Amarillo International Airport
AMB,FMNE,Ambilobe
AMC,FTTN,Am Timan
AMD,VAAH,Ahmedabad Airport
AME,,Alto Molocue
AMF,AYAA,Ama
AMG,,Amboin
AMH,HAAM,Arba Mintch Airport
AMI,WADA,Selaparang
AMJ,SNAR,Almenara
AMK,,Animas Airpark
AML,,Puerto Armuellas
AMM,OJAI,Queen Alia International Airport
AMN,KAMN,Gratiot Community
AMO,FTTU,Mao
AMP,FMSY,Ampanihy
AMQ,WAPP,Pattimura Airport
AMR,,Arno
AMS,EHAM,Amsterdam Airport Schiphol
AMT,YAMT,Amata
AMU,AYAM,Amanab
AMV,ULDD,Amderma
AMW,KAMW,Ames
AMX,YAMM,Ammaroo
AMY,,Ambatomainty
AMZ,NZAR,Ardmore
ANA,HKOM,John Wayne International
ANB,KANB,Anniston Metropolitan
ANC,PANC,Ted Stevens Anchorage International Airport
AND,KAND,Anderson
ANE,LFJR,Angers-Marce Airport
ANF,SCFA,Cerro Moreno International Airport
ANG,LFBU,Brie-Champniers
ANH,,Anuha Island Resort
ANI,PANI,Aniak Airport
ANJ,FCBZ,Zanaga
ANK,LTAD,Etimesgut
ANL,,Andulo
ANM,FMNH,Antsirabato
ANN,PANT,Annette Island
ANO,FQAG,Angoche
ANP,KANP,Lee
ANQ,KANQ,Tri-State Steuben County
ANR,EBAW,Antwerp International Airport
ANS,SPHY,Andahuaylas
ANT,,St Anton
ANU,TAPA,V.C. Bird International Airport
ANV,PANV,Anvik Airport
ANW,KANW,Ainsworth
ANX,ENAN,Andenes Airport
ANY,KANY,Anthony
ANZ,,Angus Downs
AOA,,Aroa
AOB,,Annanberg
AOC,EDAC,Altenburg Nobitz
AOD,,Abou Deia
AOE,LTBY,Anadolu University
AOG,ZYAS,Anshan Teng'ao Airport
AOH,KAOH,Allen County
AOI,LIPY,Ancona Falconara Airport
AOJ,RJSA,Aomori Airport
AOK,LGKP,Karpathos Airport
AOL,SARL,Paso De Los Libres
AOM,OOAD,Adam Airport
AON,,Arona
AOO,KAOO,Altoona Airport
AOP,SPAS,Alferez FAP Alfredo Vladimir Sara Bauer Airport
AOR,WMKA,Sultan Abdul Halim Airport
AOS,AK81,Amook
AOT,LIMW,Corrado Gex
AOU,VLAP,Attopeu
APA,KAPA,Centennial Airport
APB,SLAP,Apolo
APC,KAPC,Napa County
APD,,Arung Palakka Airport
APE,SPAO,San Juan Aposento
APF,KAPF,Naples Municipal Airport
APG,KAPG,Phillips AAF
APH,KAPH,Camp A P Hill
API,SKAP,Apiay
APJ,ZUPL,Ngari Burang Airport
APK,NTGD,Apataki
APL,FQNP,Nampula Airport
APN,KAPN,Alpena County Regional Airport
APO,SKLC,Apartado Airport
APP,,Asapa
APQ,SNAL,Arapiraca
APR,AYPE,April River
APS,SWNS,Anapolis
APT,KAPT,Marion County
APU,SSAP,Apucarana
APV,KAPV,Apple Valley
APW,NSFA,Faleolo Airport
APX,SSOG,Arapongas
APY,SNAI,Alto Parnaiba
APZ,SAHZ,Zapala
AQA,SBAQ,Araraquara
AQB,MGQC,Quiche Airport
AQG,ZSAQ,Anqing Tianzhushan Airport
AQI,OEPA,Qaisumah Airport
AQJ,OJAQ,King Hussein International Airport
AQM,SJOG,Ariquemes
AQP,SPQU,Rodriguez Ballon International Airport
AQS,NFBG,Saqani
AQY,,Alyeska
ARA,KARA,Acadiana Regional
ARB,KARB,Municipal
ARC,PARC,Arctic Village
ARD,WATM,Alor Island Airport
ARE,TJAB,Arecibo
ARF,,Acaricuara
ARG,KARG,Walnut Ridge
ARH,ULAA,Talagi Airport
ARI,SCAR,Chacalluta Airport
ARJ,WAJA,Arso
ARK,HTAR,Arusha Airport
ARL,DFER,Arly
ARM,YARM,Armidale Airport
ARN,ESSA,Stockholm Arlanda Airport
ARO,,Arboletas
ARP,,Aragip
ARQ,SKAT,Arauquita
ARR,SAVR,Alto Rio Senguerr
ARS,SJVO,Aragarcas
ART,KART,Watertown Airport
ARU,SBAU,Aracatuba Airport
ARV,KARV,Noble F. Lee
ARW,LRAR,Arad
ARX,SBAC,Asbury Park
ARY,YARA,Ararat
ARZ,FNZE,N'zeto
ASA,HHSB,Assab International
ASB,UTAA,Ashgabat Airport
ASC,SLAS,Ascension
ASD,MYAF,Andros Town
ASE,KASE,Aspen Airport
ASF,URWA,Astrakhan Airport
ASG,NZAS,Ashburton
ASH,KASH,Boire Field
ASI,FHAW,Saint Helena Airport
ASJ,RJKA,Amami Airport
ASK,DIYO,Yamoussoukro
ASL,KASL,Harrison County
ASM,HHAS,Asmara International Airport
ASN,KASN,Talladega
ASO,HASO,Asosa Airport
ASP,YBAS,Alice Springs Airport
ASQ,KTMT,Austin
ASR,LTAU,Kayseri Airport
ASS,FAAR,Arathusa Safari Lodge
AST,KAST,Astoria
ASU,SGAS,Silvio Pettirossi International Airport
ASV,HKAM,Amboseli
ASW,HESN,Aswan Airport
ASX,KASX,Ashland
ASY,KASY,Ashley
ASZ,,Asirim
ATA,SPHZ,Anta
ATB,HSAT,Atbara
ATC,MYCA,Arthur's Town
ATD,AGAT,Atoifi
ATE,80F,Antlers
ATF,SEAM,Chachoan
ATG,OPMS,Attock
ATH,LGAV,Eleftherios Venizelos International Airport
ATI,SUAG,Artigas
ATJ,FMME,Antsirabe
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport
ATL,KATL,Hartsfield-Jackson Atlanta International Airport
